Entity,Code,Year,Coal,Gas,Oil,Nuclear,Hydro,Other,Solar,Wind
Afghanistan,AFG,2019,0,0.176,0,0,1.07,0,0.037,0
Africa,,2019,253.556,340.473,81.274,14.214,132.735,8.184,19.378,17.508
Albania,ALB,2019,0,0,0,0,4.018,0,0.001,0
Algeria,DZA,2019,0,72.993,0,0,0.152,0,0.615,0.01
American Samoa,ASM,2019,0,0,0.168,0,0,0,0,0
Angola,AGO,2019,0,1.328,1.111,0,8.422,0.253,0.018,0
Antigua and Barbuda,ATG,2019,0,0,0.327,0,0,0,0.006,0
Argentina,ARG,2019,0.71,82.283,2.756,8.442,37.067,2.397,0.8,4.996
Armenia,ARM,2019,0,2.722,0,1.674,2.267,0,0.004,0.002
Aruba,ABW,2019,0,0,0.783,0,0,0.006,0.009,0.121
Australia,AUS,2019,149.496,54.357,5.783,0,14.294,3.576,17.951,19.524
Austria,AUT,2019,1.602,11.058,2.608,0,40.732,4.787,1.352,7.435
Azerbaijan,AZE,2019,0,10.92,10.966,0,1.565,0.081,0.044,0.135
Bahamas,BHS,2019,0,0,1.722,0,0,0,0.002,0
Bahrain,BHR,2019,0,27.676,0.027,0,0,0,0.008,0.001
Bangladesh,BGD,2019,1.552,54.418,15.925,0,0.823,0.008,0.421,0.005
Barbados,BRB,2019,0,0,1.011,0,0,0,0.035,0
Belarus,BLR,2019,0,36.857,0,0,0.324,0.114,0.12,0.106
Belgium,BEL,2019,0.091,24.132,3.099,43.757,0.296,5.127,3.947,9.532
Belize,BLZ,2019,0,0,0.015,0,0.279,0.12,0.005,0
Benin,BEN,2019,0,0.204,0.101,0,0.001,0,0.005,0
Bermuda,BMU,2019,0,0,0.618,0,0,0,0,0
Bhutan,BTN,2019,0,0,0,0,7.623,0,0.001,0.001
Bolivia,BOL,2019,0,7.245,0,0,2.635,0.293,0.011,0.076
Bosnia and Herzegovina,BIH,2019,12.452,0,0,0,6.819,0.043,0.028,0.001
Botswana,BWA,2019,2.856,0,0,0,0,0,0.002,0
Brazil,BRA,2019,25.729,58.87,7.884,16.165,399.297,56.254,5.563,55.833
British Virgin Islands,VGB,2019,0,0,0.191,0,0,0,0,0.001
Brunei,BRN,2019,0,3.893,0,0,0,0,0.002,0
Bulgaria,BGR,2019,18.648,2.922,0.401,16.569,3.422,1.154,1.831,1.307
Burkina Faso,BFA,2019,0,0,0.975,0,0.14,0.001,0.035,0
Burundi,BDI,2019,0,0,0.018,0,0.201,0.007,0.009,0
Cambodia,KHM,2019,4.288,0,0.248,0,2.948,0.057,0.006,0
Cameroon,CMR,2019,0,3.084,0.792,0,4.634,0.003,0.018,0
Canada,CAN,2019,54.605,69.251,4.137,100.486,381.977,10.809,4.315,34.172
Cape Verde,CPV,2019,0,0,0.381,0,0,0,0.007,0.075
Cayman Islands,CYM,2019,0,0,0.648,0,0,0,0.019,0
Central African Republic,CAF,2019,0,0,0.001,0,0.144,0,0,0
Chad,TCD,2019,0,0,0.222,0,0,0,0,0.012
Chile,CHL,2019,17.603,13.678,10.793,0,20.853,9.992,6.3,5.3
China,CHN,2019,4853.717,236.465,6.016,348.7,1269.674,102.83,223.8,405.7
Colombia,COL,2019,4.079,6.809,0.501,0,51.542,2.048,0.123,0.06
Comoros,COM,2019,0,0,0.04,0,0,0,0,0
